filer_nam_l,rec_type,entity_nam_l,entity_nam_f,entity_zip4,entity_emp,tran_type,tran_date,amount
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2017-08-16,979.97
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-08-08,1541.25
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2017-08-08,775.0
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2017-07-28,774.04
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-07-04,68.5
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-07-03,139.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-06-30,174.0
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-06-15,1455.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-05-29,34.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-05-24,34.25
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-05-16,315.0
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2017-05-09,500.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-04-18,23.0
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-04-14,448.96
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-03-21,26.25
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-03-09,3832.5
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2017-03-06,1500.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-03-02,23.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-24,118.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-23,5.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-22,148.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-20,34.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-15,68.5
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-14,44.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-13,37.0
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2017-02-13,946.03
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-02-09,5647.2
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-02-09,967.47
Gaspar for Supervisor 2016,EXPN,Elite Chef's Catering,,92129,,,2017-02-09,865.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-07,34.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-02-02,80.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-01-27,34.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-01-25,68.0
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-01-25,7680.08
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-01-16,3984.35
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-01-16,7652.43
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-01-16,10000.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-01-12,331.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-01-11,375.38
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-01-10,57.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-01-06,19.0
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2017-01-06,10000.0
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2017-01-06,2000.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-01-05,11.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2017-01-02,11.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-12-30,11.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-12-29,11.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-12-28,11.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-12-21,14.5
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-12-20,11.75
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2016-12-14,500.0
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2016-12-13,1541.4
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-11-28,20000.0
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2016-11-22,2000.0
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2016-11-22,550.0
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-17,4948.23
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-17,3.7
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-11-09,24.4
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-11-08,1425.7
Gaspar for Supervisor 2016,EXPN,"Capitol Resources, Inc.",,52211,,,2016-11-08,672.11
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-11-07,160.0
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-11-07,666.67
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-11-04,190.76
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-11-03,12.17
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-11-03,163.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-11-02,286.75
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-11-02,2806.79
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-11-02,7515.92
Gaspar for Supervisor 2016,EXPN,Facebook,,94025,,,2016-11-02,6140.64
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-11-01,156.83
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-31,242.5
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-31,11702.89
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-31,11862.1
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-31,12313.36
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-31,9969.34
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-31,9787.23
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-31,4455.57
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-31,6316.76
Gaspar for Supervisor 2016,EXPN,Dawn Dais Design,,95747,,,2016-10-31,750.0
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-31,6179.17
Gaspar for Supervisor 2016,EXPN,Dawn Dais Design,,95747,,,2016-10-31,750.0
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-31,2268.32
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-28,142.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-27,71.25
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-27,791.0
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2016-10-27,8075.3
Gaspar for Supervisor 2016,EXPN,COGS South,,92707,,,2016-10-27,688.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-26,19.5
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-25,840.0
Gaspar for Supervisor 2016,EXPN,Seaside Courier,,92024,,,2016-10-25,730.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-24,115.23
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-24,129.6
Gaspar for Supervisor 2016,EXPN,Facebook,,94025,,,2016-10-22,2806.79
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-21,102.25
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-21,17092.29
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-21,12902.8
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-21,1960.06
Gaspar for Supervisor 2016,EXPN,CompleteCampaigns.com a div. of Aristotle Int'l Inc.,,20003,,,2016-10-20,56.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-20,48.75
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-19,135.63
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-17,10227.8
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-18,17992.1
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-18,12901.3
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-18,2744.0
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-17,7413.32
Gaspar for Supervisor 2016,EXPN,Dawn Dais Design,,95747,,,2016-10-17,780.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-14,130.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-13,24.0
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-13,4956.11
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-13,5247.22
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-13,3051.35
Gaspar for Supervisor 2016,EXPN,Dawn Dais Design,,95747,,,2016-10-13,3051.35
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-12,71.5
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-10,240.75
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-10,736.87
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-10,643.96
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2016-10-10,1500.0
Gaspar for Supervisor 2016,EXPN,"Scott & Cronin, LLP",,92024,,,2016-10-10,500.0
Gaspar for Supervisor 2016,EXPN,Facebook,,94025,,,2016-10-10,465.42
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-07,164.0
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-07,15137.75
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-07,4944.63
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-07,7413.56
Gaspar for Supervisor 2016,EXPN,Dawn Dais Design,,95747,,,2016-10-07,750.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-06,241.76
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-05,85.75
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-05,15207.0
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-05,4944.69
Gaspar for Supervisor 2016,EXPN,"Encompas Network, Inc.",,92106,,,2016-10-05,7413.56
Gaspar for Supervisor 2016,EXPN,Dawn Dais Design,,95747,,,2016-10-05,810.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-04,258.38
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-10-03,203.94
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-03,2500.0
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-03,840.0
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-10-03,1503.5
Gaspar for Supervisor 2016,EXPN,Seaside Courier,,92024,,,2016-10-03,730.0
Gaspar for Supervisor 2016,EXPN,"Coast News, Inc.",,92024,,,2016-10-03,1090.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-09-30,362.45
Gaspar for Supervisor 2016,EXPN,CompleteCampaigns.com a div. of Aristotle Int'l Inc.,,20003,,,2016-09-29,26.25
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-09-29,490.63
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-09-28,4145.0
Gaspar for Supervisor 2016,EXPN,"Golden State Consultants, LLC",,92101,,,2016-09-28,11359.36
Gaspar for Supervisor 2016,EXPN,"Revolvis Consulting, Inc.",,92119,,,2016-09-28,14150.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-09-28,1203.76
Gaspar for Supervisor 2016,EXPN,"VoterTrove, Inc.",,78732,,,2016-09-28,12000.0
Gaspar for Supervisor 2016,EXPN,eFundraising Connections,,95816,,,2016-09-27,171.49
